中华人民共和国,中国,People’s Republic of China,China,Zhong Guo,zhongguo,-,156000000
云南省,云南,Yunnan Province,YUNNAN,yunnansheng,yunnan,-,156530000
四川省,四川,Sichuan Province,SICHUAN,sichuansheng,sichuan,-,156510000
西藏自治区,西藏,Tibet Auronomous Region,TIBET,xizangzizhiqu,xizang,-,156540000
海南省,海南,Hainan Province,HAINAN,hainansheng,hainan,-,156460000
广西壮族自治区,广西,Guangxi Zhuang Autonomous Region,GUANGXI,guangxizhuangzuzizhiqu,guangxi,-,156450000
广东省,广东,Guangdong Province,GUANGDONG,guangdongsheng,guangdong,-,156440000
台湾省,台湾,Taiwan Province,TAIWAN,taiwansheng,taiwan,-,156710000
贵州省,贵州,Guizhou Province,GUIZHOU,guizhousheng,guizhou,-,156520000
湖南省,湖南,Hunan Province,HUNAN,hunansheng,hunan,-,156430000
福建省,福建,Fujian Province,FUJIAN,fujiansheng,fujian,-,156350000
江西省,江西,Jiangxi Province,JIANGXI,jiangxisheng,jiangxi,-,156360000
浙江省,浙江,Zhejiang Province,ZHEJIANG,zhejiangsheng,zhejiang,-,156330000
湖北省,湖北,Hubei Province,HUBEI,hubeisheng,hubei,-,156420000
陕西省,陕西,Shaanxi Province,SHAANXI,shanxisheng,shanxi,-,156610000
安徽省,安徽,Anhui Province,ANHUI,anhuisheng,anhui,-,156340000
江苏省,江苏,Jiangshu Province,JIANGSU,jiangsusheng,jiangsu,-,156320000
河南省,河南,Henan Province,HENAN,henansheng,henan,-,156410000
甘肃省,甘肃,Gansu Province,GANSU,gansusheng,gansu,-,156620000
青海省,青海,Qinghai Province,QINGHAI,qinghaisheng,qinghai,-,156630000
新疆维吾尔自治区,新疆,Xinjiang Uygur Autonomous Region,XINJIANG,xinjiangweiwuerzizhiqu,xinjiang,-,156650000
山东省,山东,Shandong Province,SHANDONG,shandongsheng,shandong,-,156370000
山西省,山西,Shanxi Province,SHANXI,shanxisheng,shanxi,-,156140000
宁夏回族自治区,宁夏,Ningxia Hui Autonomous Region,NINGXIA,ningxiahuizuzizhiqu,ningxia,-,156640000
河北省,河北,Hebei Province,HEBEI,hebeisheng,hebei,-,156130000
辽宁省,辽宁,Liaoning Province,LIAONING,liaoningsheng,liaoning,-,156210000
内蒙古自治区,内蒙古,Inner Mongolia Autonomous Region,NEI MONGOL(INNER MONGOLIA),neimengguzizhiqu,neimenggu,-,156150000
吉林省,吉林,Jilin Province,JILIN,jilinsheng,jilin,-,156220000
黑龙江省,黑龙江,Heilongjiang Province,HEILONGJIANG,heilongjiangsheng,heilongjiang,-,156230000
澳门,澳门,Macao,Macao,aomen,aomen,-,156820000
香港,香港,Hong Kong,Hong Kong,xianggang,xianggang,-,156810000
重庆市,重庆,Chongqing Shi,Chongqing,zhongqingshi,zhongqing,-,156500000
上海市,上海,Shanghai Shi,Shanghai,shanghaishi,shanghai,-,156310000
天津市,天津,Tianjin Shi,Tianjin,tianjinshi,tianjin,-,156120000
北京市,北京,BeiJing Shi,BeiJing,beijingshi,beijing,-,156110000
西双版纳傣族自治州,西双版纳傣族,Xishuangbanna Dai Autonomous Prefecture,Xishuangbanna,xishuangbannadaizuzizhizhou,xishuangbannadaizu,-,156532800
勐拉镇,勐拉镇,Mengla Zhen,Mengla,menglazhen,menglazhen,-,156532500
普洱市,普洱,Pu'er City,Pu'er,puershi,puer,-,156530800
红河哈尼族彝族自治州,红河哈尼族彝族,Honghe Hani Yi Autonomous Prefecture,Honghe,honghehanizuyizuzizhizhou,honghehanizuyizu,-,156532500
临沧市,临沧,Lincang City,Lincang,lincangshi,lincang,-,156530900
玉溪市,玉溪,Yuxi City,Yuxi,yuxishi,yuxi,-,156530400
德宏傣族景颇族自治州,德宏傣族景颇族,Dehong Dai Jingpo Autonomous Prefecture,Dehong,dehongdaizujingpozuzizhizhou,dehongdaizujingpozu,-,156533100
昆明市,昆明,Kunming Shi,Kunming,kunmingshi,kunming,-,156530100
保山市,保山,Baoshan City,Baoshan,baoshanshi,baoshan,-,156530500
楚雄彝族自治州,楚雄彝族,Chuxiong Yi Autonomous Prefecture,Chuxiong,chuxiongyizuzizhizhou,chuxiongyizu,-,156532300
曲靖市,曲靖,Qujing City,Qujing,qujingshi,qujing,-,156530300
大理白族自治州,大理白族,Dali Bai Autonomous Prefecture,Dali,dalibaizuzizhizhou,dalibaizu,-,156532900
攀枝花市,攀枝花,Panzhihua City,Panzhihua,panzhihuashi,panzhihua,-,156510400
怒江傈僳族自治州,怒江傈僳族,Nujiang Lisu Autonomous Prefecture,Nujiang,nujianglisuzuzizhizhou,nujianglisuzu,-,156533300
丽江市,丽江,Lijiang City,Lijiang,lijiangshi,lijiang,-,156530700
昭通市,昭通,Zhaotong City,Zhaotong,zhaotongshi,zhaotong,-,156530600
迪庆藏族自治州,迪庆藏族,Diqing Zang Autonomous Prefecture,Deqen,diqingzangzuzizhizhou,diqingzangzu,-,156533400
凉山彝族自治州,凉山彝族,Liangshan Yi Autonomous Prefecture,Liangshan,liangshanyizuzizhizhou,liangshanyizu,-,156513400
山南市,山南,Shannan City,Shannan,shannanshi,shannan,-,156540500
日喀则市,日喀则,Rikaze City,Xigaze,rikazeshi,rikaze,-,156540200
林芝市,林芝,Linzhi Prefecture,Nyingchi,linzhishi,linzhi,-,156540400
